   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:123(MaxFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:138(ModeFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:156(GaussianBlur)
        1    0.000    0.000    0.511    0.511 ImageFilter.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:171(BoxBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:192(UnsharpMask)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:218(BLUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:231(CONTOUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:242(DETAIL)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:25(Filter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:253(EDGE_ENHANCE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:264(EDGE_ENHANCE_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:275(EMBOSS)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:286(FIND_EDGES)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:29(MultibandFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:297(SHARPEN)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:308(SMOOTH)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:319(SMOOTH_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:33(BuiltinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:332(Color3DLUT)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:40(Kernel)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:69(RankFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:93(MedianFilter)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
       24    0.000    0.000    0.000    0.000 ImageMode.py:23(__init__)
      394    0.002    0.000    0.002    0.000 ImageMode.py:33(getmode)
      442    0.002    0.000    0.018    0.000 ImagePalette.py:142(raw)
        1    0.000    0.000    0.006    0.006 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:24(ImagePalette)
      977    0.038    0.000    0.040    0.000 ImagePalette.py:39(__init__)
      394    0.006    0.000    0.025    0.000 ImagePalette.py:50(copy)
      561    0.002    0.000    0.002    0.000 ImagePalette.py:62(getdata)
      141    0.000    0.000    0.000    0.000 ImagePalette.py:73(tobytes)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 ImageStat.py:24(<module>)
        1    0.000    0.000    0.000    0.000 ImageStat.py:29(Stat)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:337(JpegImageFile)
        1    0.000    0.000    0.018    0.018 JpegImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1022(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1033(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:145(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:237(iTXt)
